INDEXATION CARBURANT Clients 2026;;;;;;;;;;;;;;;;;;;;
;;;;;;Jours;Ouvrables;;26;24;26;25;22;26;26;25;26;27;24;26
;;;;;;;Ouvrés;;21;20;22;21;17;22;22;21;22;22;20;22
;;;;;;;;;;;;;;;;;;;;
CLIENTS;Contrats;Code Facturation;Indice de Référence;Base indice;Pondération;Mode de Facturation IGO;Valeur de Réf.;;janv-26;févr-26;mars-26;avr-26;mai-26;juin-26;juil-26;août-26;sept-26;oct-26;nov-26;déc-26
COLISSIMO;IDFN-LTH-016-S33;CSPN;153,94;CNR GNV M-1;13,76%;Variation TK;4,4842;;4,5142;4,5069;4,5794;3,8672;3,8672;3,8672;3,8672;3,8672;3,8672;3,8672;3,8672;3,8672
COLISSIMO;IDFN-LTH-017-S33;CSPN;153,94;CNR GNV M-1;15,64%;Variation TK;2,4922;;2,5112;2,5066;2,5523;2,1024;2,1024;2,1024;2,1024;2,1024;2,1024;2,1024;2,1024;2,1024
COLISSIMO;IDFN-LTH-081-CM;CSPN;153,94;CNR GNV M-1;15,57%;Variation TK;2,3944;;2,4125;2,4081;2,4519;2,0216;2,0216;2,0216;2,0216;2,0216;2,0216;2,0216;2,0216;2,0216
COLISSIMO;IDFS-MJD-88-CM;CSPN;153,94;CNR GNV M-1;23,47%;Variation TK;1,5889;;1,6070;1,6026;1,6464;1,2160;1,2160;1,2160;1,2160;1,2160;1,2160;1,2160;1,2160;1,2160
COLISSIMO;IDFS-MOI-136-S33;CSPN;153,94;CNR GNV M-1;28,98%;Variation TK;1,5169;;1,5383;1,5331;1,5847;1,0773;1,0773;1,0773;1,0773;1,0773;1,0773;1,0773;1,0773;1,0773
COLISSIMO;IZPFC69SLM090;CSPN;Astreinte;;;;;;;;;;;;;;;;;
COLISSIMO;LII043C9267CR;CSPN;180,42;CNR GO PRO M-1;37,13%;Variation TK;1,0369;;1,0392;1,0523;1,0645;1,1813;0,6519;0,6519;0,6519;0,6519;0,6519;0,6519;0,6519;0,6519
COLISSIMO;LIN128C9562AR;CSPN;167,18;CNR GNV M-1;25,23%;Variation TK;1,5100;;1,4969;1,4927;1,5339;1,1290;1,1290;1,1290;1,1290;1,1290;1,1290;1,1290;1,1290;1,1290
COLISSIMO;LIN198S7776AS;CSPN;195,67;CNR GO PRO M-1;30,99%;Variation TK;1,4662;;1,4333;1,4476;1,4608;1,5879;1,0118;1,0118;1,0118;1,0118;1,0118;1,0118;1,0118;1,0118
COLISSIMO;LIN177C6238CR;CSPN;204,89;CNR GO PRO M-1;33,60%;Variation TK;1,3298;;1,2788;1,2922;1,3046;1,4240;0,8830;0,8830;0,8830;0,8830;0,8830;0,8830;0,8830;0,8830
COLISSIMO;LIO087C9541AR;CSPN;167,18;CNR GNV M-1;27,11%;Variation TK;1,4055;;1,3924;1,3882;1,4294;1,0245;1,0245;1,0245;1,0245;1,0245;1,0245;1,0245;1,0245;1,0245
COLISSIMO;LIO088C9541AR;CSPN;167,18;CNR GNV M-1;26,34%;Variation TK;1,4467;;1,4336;1,4294;1,4706;1,0656;1,0656;1,0656;1,0656;1,0656;1,0656;1,0656;1,0656;1,0656
COLISSIMO;LIO099C7741AR;CSPN;142,37;CNR GNV M-1;23,98%;Variation TK;1,5548;;1,6047;1,5999;1,6473;1,1820;1,1820;1,1820;1,1820;1,1820;1,1820;1,1820;1,1820;1,1820
COLISSIMO;LIS124C7769CR;CSPN;204,89;CNR GO PRO M-1;32,01%;Variation TK;1,3957;;1,3447;1,3581;1,3705;1,4899;0,9489;0,9489;0,9489;0,9489;0,9489;0,9489;0,9489;0,9489
COLISSIMO;LOT 08 - Porteur de Cour NANTERRE;CSPN;180,81;CNR GO PRO M-1;14,00%;Variation Tx Horaire;38,65;;38,6712;38,8550;39,0250;40,6632;33,2390;33,2390;33,2390;33,2390;33,2390;33,2390;33,2390;33,2390
COLISSIMO;IDFN-LTH-017-CM;CSPN;153,94;CNR GNV M-1;20,21%;Variation TK;2,3748;;2,3982;2,3925;2,4488;1,8949;1,8949;1,8949;1,8949;1,8949;1,8949;1,8949;1,8949;1,8949
COLISSIMO;IDFS-MOI-307-CM;CSPN;179,54;CNR GNV M-1;20,98%;Variation TK;1,3559;;1,3056;1,3006;1,3507;0,8577;0,8577;0,8577;0,8577;0,8577;0,8577;0,8577;0,8577;0,8577
COLISSIMO;IDFN-LTH-115-CM;CSPN;179,54;CNR GNV M-1;18,69%;Variation TK;2,3948;;2,3500;2,3455;2,3902;1,9509;1,9509;1,9509;1,9509;1,9509;1,9509;1,9509;1,9509;1,9509
COLISSIMO;LIO124S7741AR;CSPN;195,67;CNR GO PRO M-1;30,78%;Variation TK;1,1937;;1,1671;1,1787;1,1893;1,2921;0,8263;0,8263;0,8263;0,8263;0,8263;0,8263;0,8263;0,8263
COLISSIMO;IDFS-MJD-207-CM;CSPN;192,18;CNR GNV M-1;24,45%;Variation TK;1,8084;;1,7377;1,7335;1,7750;1,3662;1,3662;1,3662;1,3662;1,3662;1,3662;1,3662;1,3662;1,3662
COLISSIMO;IDFS-MJD-104-S33;CSPN;170,34;CNR GNV M-1;25,01%;Variation TK;1,6503;;1,6287;1,6243;1,6681;1,2376;1,2376;1,2376;1,2376;1,2376;1,2376;1,2376;1,2376;1,2376
COLISSIMO;IDFS-MJD-106-S33;CSPN;170,34;CNR GNV M-1;18,10%;Variation TK;2,1640;;2,1435;2,1393;2,1809;1,7723;1,7723;1,7723;1,7723;1,7723;1,7723;1,7723;1,7723;1,7723
COLISSIMO;LIN204C9576AR;CSPN;163,31;CNR GNV M-1;27,69%;Variation TK;1,4210;;1,4165;1,4121;1,4556;1,0275;1,0275;1,0275;1,0275;1,0275;1,0275;1,0275;1,0275;1,0275
COLISSIMO;LIN205C9576AR;CSPN;163,31;CNR GNV M-1;27,98%;Variation TK;1,4520;;1,4473;1,4428;1,4877;1,0457;1,0457;1,0457;1,0457;1,0457;1,0457;1,0457;1,0457;1,0457
DACHSER CERGY;532_FT_113;DACER;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;4,50%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER CERGY;532_FT_148;DACER;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;-4,54%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER CERGY;532_FT_151;DACER;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;-4,70%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER CERGY;532_FT_25;DACER;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;-4,23%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER CERGY;532_FT_445;DACER;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;-4,86%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
DACHSER CERGY;AR Cergy - Pantin;DACER;188,39;CNR GO PRO M-1;16,90%;% Pied de facture;;;-0,62%;-0,07%;0,44%;5,35%;-16,90%;-16,90%;-16,90%;-16,90%;-16,90%;-16,90%;-16,90%;-16,90%
Dachser HOLNON;537_FT_141;DASTQ;181,52;CNR GO PRO M-1;28,00%;% Pied de facture;;;0,00%;0,95%;1,82%;10,27%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%
Dachser HOLNON;NAVETTE LC;DASTQ;181,52;CNR GO PRO M-1;28,00%;% Pied de facture;;;0,00%;0,95%;1,82%;10,27%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%
DACHSER PANTIN;567_FT_423;DAPAN;142,37;CNR GNV M-1;25,70%;% Pied de facture;;;3,44%;3,11%;6,37%;-25,70%;-25,70%;-25,70%;-25,70%;-25,70%;-25,70%;-25,70%;-25,70%;-25,70%
DACHSER STRASBOURG;538_FT_70;DASTR;1,1549;CMM M-1;28,00%;% Pied de facture;;;2,76%;4,05%;4,84%;14,61%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%;-28,00%
DACHSER VILLEPARISIS ;535_FT_297;DACHS;182,05;CNR GO PRO M-1;26,50%;% Pied de facture;;;5,34%;0,82%;1,64%;9,61%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%;-26,50%
